benchmark,solver,result,time_real,time_cpu,memory
2019/goel/industry/cal182/cal182.aig,pavy,unsat,303.56210924498737,303.336940829,100.810752
2019/goel/industry/cal182/cal182.aig,ncip-portfolio,unknown,0.20001094043254852,0.005451525,0.79872
2019/goel/industry/cal182/cal182.aig,ncip-cadicraig,unknown,1.8474433105438948,0.00625351,1.118208
2019/goel/industry/cal182/cal182.aig,ncip-minicraig,unknown,6.7214658400043845,0.007719514,1.011712
2019/goel/industry/cal205/cal205.aig,mc-zhulf,unsat,33.12448458597646,23.845121173,79.843328
2019/goel/industry/cal205/cal205.aig,voiraig,unknown,0.035348895005881786,0.005959138,1.024
2019/goel/industry/cal205/cal205.aig,ncip-cadicraig,unknown,0.18954503815621138,0.006478998,0.933888
2019/goel/industry/cal205/cal205.aig,supercar,unknown,9.67058118712157,0.006498734,1.032192
2019/goel/industry/cal205/cal205.aig,ncip-portfolio,unknown,3.0094947582110763,0.006926653,0.96256
2019/goel/industry/cal205/cal205.aig,ncip-minicraig,unknown,7.878597315400839,0.007169886,1.028096
2019/goel/industry/cal205/cal205.aig,ric3,unknown,4.664763568900526,0.008658923,0.790528
2019/goel/industry/cal205/cal205.aig,pavy,unknown,0.13097046688199043,0.069545348,23.269376
2019/goel/industry/cal205/cal205.aig,fric3,unknown,4.650707088003401,0.10021485,24.498176
2019/goel/industry/cal235/cal235.aig,mc-zhulf,unknown,0.1880084970034659,0.005710599,0.876544
2019/goel/industry/cal235/cal235.aig,ncip-cadicraig,unknown,0.16942225955426693,0.005929795,0.753664
2019/goel/industry/cal235/cal235.aig,ncip-portfolio,unknown,0.48242746386677027,0.005959042,1.00352
2019/goel/industry/cal235/cal235.aig,voiraig,unknown,0.035099358297884464,0.006076387,0.98304
2019/goel/industry/cal235/cal235.aig,ric3,unknown,0.5234675472602248,0.006527835,0.786432
2019/goel/industry/cal235/cal235.aig,supercar,unknown,15.185388724319637,0.006987746,0.933888
2019/goel/industry/cal235/cal235.aig,ncip-minicraig,unknown,6.721200045198202,0.007341756,0.88064
2019/goel/industry/cal235/cal235.aig,pavy,unknown,1.0129476431757212,0.093195022,27.983872
2019/goel/industry/cal235/cal235.aig,fric3,unknown,4.679637962020934,0.110647341,27.099136
2019/goel/industry/cal27/cal27.aig,mc-zhulf,unsat,9.023395074007567,0.134015952,7.688192
2019/goel/industry/cal27/cal27.aig,ric3,unsat,5.15197663102299,0.15632641,6.897664
2019/goel/industry/cal27/cal27.aig,supercar,unsat,4.9660829827189445,0.169452978,7.430144
2019/goel/industry/cal27/cal27.aig,voiraig,unsat,0.30556766875088215,0.226495627,7.364608
2019/goel/industry/cal27/cal27.aig,fric3,unsat,8.446385974006262,0.242681725,8.35584
2019/goel/industry/cal27/cal27.aig,pavy,unsat,0.4212906016036868,0.328433369,7.626752
2019/goel/industry/cal27/cal27.aig,ncip-minicraig,unknown,0.11328186560422182,0.005571274,1.032192
2019/goel/industry/cal27/cal27.aig,ncip-portfolio,unknown,0.4558151485398412,0.005854279,0.90112
2019/goel/industry/cal27/cal27.aig,ncip-cadicraig,unknown,0.2328750044107437,0.006263561,1.00352
2019/goel/industry/cal41/cal41.aig,mc-zhulf,unsat,4.993949783034623,0.097476665,4.571136
2019/goel/industry/cal41/cal41.aig,voiraig,unsat,0.26348500326275826,0.099117146,3.895296
2019/goel/industry/cal41/cal41.aig,supercar,unsat,15.616593762300909,0.099790343,4.247552
2019/goel/industry/cal41/cal41.aig,ric3,unsat,10.965771316550672,0.109442663,3.579904
2019/goel/industry/cal41/cal41.aig,fric3,unsat,8.403214727994055,0.125347666,6.111232
2019/goel/industry/cal41/cal41.aig,pavy,unsat,1.0751434424892068,0.182256949,7.200768
2019/goel/industry/cal41/cal41.aig,ncip-portfolio,unsat,5.8657967215403914,1.265292,67.833856
2019/goel/industry/cal41/cal41.aig,ncip-minicraig,unsat,11.240775628946722,1.278235158,67.72736
2019/goel/industry/cal41/cal41.aig,ncip-cadicraig,unsat,16.104344453662634,15.101781827,372.465664
2019/goel/industry/cal75/cal75.aig,mc-zhulf,unsat,8.985048236994771,0.085982546,5.18144
2019/goel/industry/cal75/cal75.aig,ric3,unsat,4.275889060998452,0.087324801,4.988928
2019/goel/industry/cal75/cal75.aig,voiraig,unsat,8.749550318345428,0.102795614,4.722688
2019/goel/industry/cal75/cal75.aig,pavy,unsat,2.065948606468737,0.185295816,8.884224
2019/goel/industry/cal75/cal75.aig,supercar,unsat,1.5235721822828054,1.155145648,32.485376
2019/goel/industry/cal75/cal75.aig,ncip-portfolio,unsat,18.311212303116918,4.292948285,113.606656
2019/goel/industry/cal75/cal75.aig,ncip-cadicraig,unsat,5.12928831204772,4.331402631,112.709632
2019/goel/industry/cal75/cal75.aig,ncip-minicraig,unsat,20.52440210711211,8.092917979,213.1968
2019/goel/industry/cal75/cal75.aig,fric3,none,7.535465284017846,0.059745902,5.65248
2019/goel/industry/cal97/cal97.aig,ric3,unsat,8.236710654571652,1.557925436,19.771392
2019/goel/industry/cal97/cal97.aig,supercar,unsat,29.842132373712957,4.543186568,22.904832
2019/goel/industry/cal97/cal97.aig,pavy,unsat,5.326548526994884,4.907129684,26.038272
2019/goel/industry/cal97/cal97.aig,voiraig,unsat,13.948094601742923,9.037063597,42.336256
2019/goel/industry/cal97/cal97.aig,fric3,unsat,21.452739065047354,13.317077091,24.498176
2019/goel/industry/cal97/cal97.aig,mc-zhulf,unsat,26.45808550500078,15.065794603,22.208512
2019/goel/industry/cal97/cal97.aig,ncip-portfolio,unknown,0.47315336484462023,0.00585901,0.835584
2019/goel/industry/cal97/cal97.aig,ncip-cadicraig,unknown,0.17619454581290483,0.006144102,0.929792
2019/goel/industry/cal97/cal97.aig,ncip-minicraig,unknown,1.7614547619596124,0.006312555,0.847872
