benchmark;solver;status;bound;real;time;mem;solver;status;bound;real;time;mem;solver;status;bound;real;time;mem;solver;status;bound;real;time;mem;solver;status;bound;real;time;mem
dblclockfft_butterfly_ck1-p309;avr;uns;-1;3.19;34.05;2392.0;btormc;uns;-1;0.20;0.10;20.0;cosa2;uns;-1;24.64;98.84;916.0;nuxmv;uns;-1;1.72;3.18;285.0;pono;uns;-1;0.30;0.71;144.0
dblclockfft_butterfly_ck1-p310;avr;uns;-1;3.28;36.36;2423.0;btormc;uns;-1;0.28;0.20;29.0;cosa2;uns;-1;48.60;195.10;1225.0;nuxmv;uns;-1;3.18;7.55;399.0;pono;uns;-1;0.37;1.31;196.0
dblclockfft_butterfly_ck1-p333;avr;uns;-1;8.13;108.03;4076.0;btormc;uns;-1;1.09;1.00;62.0;cosa2;uns;-1;553.33;2227.82;3906.0;nuxmv;uns;-1;20.52;59.59;763.0;pono;uns;-1;1.14;6.12;373.0
dblclockfft_butterfly_ck1-p341;avr;uns;-1;7.51;96.08;3827.0;btormc;uns;-1;0.75;0.70;49.0;cosa2;uns;-1;304.59;1225.83;3146.0;nuxmv;uns;-1;9.99;28.03;671.0;pono;uns;-1;0.78;3.74;270.0
dblclockfft_butterfly_ck1-p343;avr;uns;-1;8.12;107.63;4183.0;btormc;uns;-1;1.04;1.00;57.0;cosa2;uns;-1;550.37;2215.91;4274.0;nuxmv;uns;-1;16.72;48.15;726.0;pono;uns;-1;1.23;6.74;369.0
dblclockfft_butterfly_ck1-p346;avr;uns;-1;17.07;252.43;5255.0;btormc;uns;-1;4.73;4.69;96.0;cosa2;uns;-1;1455.08;5859.54;5393.0;nuxmv;uns;-1;53.06;157.27;1092.0;pono;uns;-1;5.07;29.66;590.0
dblclockfft_butterfly_ck1-p348;avr;uns;-1;3.25;35.84;2674.0;btormc;uns;-1;0.29;0.20;29.0;cosa2;uns;-1;48.49;194.68;1240.0;nuxmv;uns;-1;3.15;7.69;404.0;pono;uns;-1;0.37;1.34;196.0
dblclockfft_butterfly_ck1-p351;avr;uns;-1;16.77;247.65;5774.0;btormc;uns;-1;2.26;2.20;84.0;cosa2;uns;-1;1452.71;5848.66;5845.0;nuxmv;uns;-1;48.69;144.18;1132.0;pono;uns;-1;3.17;18.24;520.0
dblclockfft_butterfly_ck1-p352;avr;uns;-1;5.29;65.57;3905.0;btormc;uns;-1;0.68;0.60;49.0;cosa2;uns;-1;296.93;1195.31;2970.0;nuxmv;uns;-1;9.57;26.87;527.0;pono;uns;-1;0.72;3.61;263.0
dblclockfft_butterfly_ck1-p354;avr;uns;-1;7.84;106.06;4730.0;btormc;uns;-1;1.07;1.00;62.0;cosa2;uns;-1;552.52;2224.39;3827.0;nuxmv;uns;-1;17.08;49.36;707.0;pono;uns;-1;1.02;5.43;335.0
dblclockfft_butterfly_ck1-p359;avr;uns;-1;3.28;36.53;2766.0;btormc;uns;-1;0.28;0.20;29.0;cosa2;uns;-1;48.80;195.72;1330.0;nuxmv;uns;-1;3.30;7.94;405.0;pono;uns;-1;0.37;1.30;194.0
dblclockfft_butterfly_ck1-p372;avr;uns;-1;16.62;244.58;6703.0;btormc;uns;-1;4.79;4.69;94.0;cosa2;uns;-1;1452.43;5848.02;5321.0;nuxmv;uns;-1;81.70;243.06;1109.0;pono;uns;-1;4.62;27.16;598.0
dblclockfft_butterfly_ck1-p375;avr;uns;-1;13.25;191.52;5080.0;btormc;uns;-1;3.98;3.90;102.0;cosa2;uns;-1;1163.04;4683.12;5371.0;nuxmv;uns;-1;85.92;255.74;1165.0;pono;uns;-1;4.32;24.83;590.0
dblclockfft_butterfly_ck1-p386;avr;uns;-1;7.66;101.31;4063.0;btormc;uns;-1;1.07;1.00;53.0;cosa2;uns;-1;420.36;1692.43;3570.0;nuxmv;uns;-1;18.10;52.34;675.0;pono;uns;-1;1.01;4.93;334.0
dblclockfft_butterfly_ck1-p420;avr;uns;-1;5.02;60.13;3547.0;btormc;uns;-1;0.55;0.50;39.0;cosa2;uns;-1;412.32;1659.84;3198.0;nuxmv;uns;-1;7.35;20.22;566.0;pono;uns;-1;0.52;2.02;206.0
dblclockfft_butterfly_ck1-p422;avr;uns;-1;1.10;6.07;985.0;btormc;uns;-1;0.20;0.09;20.0;cosa2;uns;-1;25.10;100.45;892.0;nuxmv;uns;-1;1.76;3.46;317.0;pono;uns;-1;0.29;0.74;145.0
dblclockfft_butterfly_ck1-p428;avr;uns;-1;3.52;39.56;2868.0;btormc;uns;-1;0.36;0.29;34.0;cosa2;uns;-1;85.36;343.22;1680.0;nuxmv;uns;-1;3.62;8.89;469.0;pono;uns;-1;0.44;1.91;219.0
dblclockfft_butterfly_ck1-p432;avr;uns;-1;1.67;15.89;1831.0;btormc;uns;-1;0.14;0.09;20.0;cosa2;uns;-1;2.83;11.04;317.0;nuxmv;uns;-1;1.55;2.75;286.0;pono;uns;-1;0.25;0.70;144.0
dblclockfft_butterfly_ck1-p434;avr;uns;-1;3.35;37.48;2526.0;btormc;uns;-1;0.29;0.20;29.0;cosa2;uns;-1;48.65;195.48;1285.0;nuxmv;uns;-1;3.16;7.67;401.0;pono;uns;-1;0.38;1.32;195.0
dblclockfft_butterfly_ck1-p436;avr;uns;-1;5.30;64.24;3292.0;btormc;uns;-1;0.54;0.50;45.0;cosa2;uns;-1;205.52;827.06;2327.0;nuxmv;uns;-1;7.22;19.63;500.0;pono;uns;-1;0.62;2.94;242.0
dblclockfft_butterfly_ck1-p454;avr;uns;-1;3.83;45.35;3142.0;btormc;uns;-1;0.35;0.29;32.0;cosa2;uns;-1;137.12;551.48;1936.0;nuxmv;uns;-1;5.33;13.90;397.0;pono;uns;-1;0.37;1.32;189.0
dblclockfft_butterfly_ck1-p455;avr;uns;-1;7.68;99.90;4163.0;btormc;uns;-1;0.54;0.50;39.0;cosa2;uns;-1;412.96;1662.64;3123.0;nuxmv;uns;-1;10.88;30.86;575.0;pono;uns;-1;0.49;1.92;209.0
dblclockfft_butterfly_ck2_r0-p043;avr;uns;-1;3.72;42.24;2312.0;btormc;uns;-1;0.82;0.70;40.0;cosa2;uns;-1;95.28;383.12;1481.0;nuxmv;uns;-1;35.39;104.55;729.0;pono;uns;-1;0.94;4.96;281.0
dblclockfft_butterfly_ck2_r0-p048;avr;uns;-1;1.49;13.13;1352.0;btormc;uns;-1;0.10;0.00;0.0;cosa2;uns;-1;1.13;4.19;186.0;nuxmv;uns;-1;1.34;2.19;237.0;pono;uns;-1;0.21;0.14;84.0
dblclockfft_butterfly_ck2_r0-p061;avr;uns;-1;1.58;14.74;1502.0;btormc;uns;-1;0.13;0.09;17.0;cosa2;uns;-1;3.63;13.78;320.0;nuxmv;uns;-1;1.10;1.74;245.0;pono;uns;-1;0.24;0.71;147.0
dblclockfft_butterfly_ck2_r0-p064;avr;uns;-1;4.98;58.81;2492.0;btormc;uns;-1;1.06;0.99;43.0;cosa2;uns;-1;134.98;543.05;1557.0;nuxmv;uns;-1;15.31;44.21;675.0;pono;uns;-1;1.10;5.51;289.0
dblclockfft_butterfly_ck2_r0-p075;avr;uns;-1;3.24;36.20;2147.0;btormc;uns;-1;0.56;0.49;33.0;cosa2;uns;-1;66.32;266.31;1223.0;nuxmv;uns;-1;6.39;17.51;522.0;pono;uns;-1;0.55;2.59;223.0
dblclockfft_butterfly_ck2_r0-p095;avr;uns;-1;32.88;507.35;5927.0;btormc;uns;-1;5.00;4.89;115.0;cosa2;uns;-1;1154.09;4647.28;4029.0;nuxmv;uns;-1;121.41;362.55;1708.0;pono;uns;-1;9.49;56.19;633.0
dblclockfft_butterfly_ck2_r0-p096;avr;uns;-1;61.69;967.78;5858.0;btormc;uns;-1;12.50;12.40;105.0;cosa2;uns;-1;1169.92;4710.78;3050.0;nuxmv;uns;-1;260.08;778.59;2620.0;pono;uns;-1;16.09;96.01;660.0
dblclockfft_butterfly_ck2_r0-p098;avr;uns;-1;1.60;15.19;1701.0;btormc;uns;-1;0.15;0.10;17.0;cosa2;uns;-1;6.44;25.54;427.0;nuxmv;uns;-1;1.57;3.10;265.0;pono;uns;-1;0.24;0.76;147.0
dblclockfft_butterfly_ck2_r0-p100;avr;uns;-1;1.81;18.06;1911.0;btormc;uns;-1;0.23;0.20;24.0;cosa2;uns;-1;15.90;63.44;652.0;nuxmv;uns;-1;2.02;4.35;310.0;pono;uns;-1;0.33;1.35;153.0
dblclockfft_butterfly_ck2_r0-p101;avr;uns;-1;48.04;750.36;5693.0;btormc;uns;-1;9.19;9.09;106.0;cosa2;uns;-1;1158.63;4664.56;3203.0;nuxmv;uns;-1;272.58;815.90;2782.0;pono;uns;-1;15.09;89.98;684.0
dblclockfft_butterfly_ck2_r0-p103;avr;uns;-1;7.40;94.28;2869.0;btormc;uns;-1;3.02;2.99;59.0;cosa2;uns;-1;298.23;1200.73;2336.0;nuxmv;uns;-1;25.82;75.76;874.0;pono;uns;-1;3.66;21.22;409.0
dblclockfft_butterfly_ck2_r0-p106;avr;uns;-1;14.72;214.95;5827.0;btormc;uns;-1;1.32;1.29;45.0;cosa2;uns;-1;1101.53;4309.34;3817.0;nuxmv;uns;-1;34.74;102.50;1209.0;pono;uns;-1;1.34;7.32;308.0
dblclockfft_butterfly_ck2_r0-p129;avr;uns;-1;35.84;554.92;5570.0;btormc;uns;-1;9.07;8.99;160.0;cosa2;uns;-1;1153.97;4646.96;3744.0;nuxmv;uns;-1;189.12;565.70;1880.0;pono;uns;-1;14.57;87.00;826.0
dblclockfft_butterfly_ck2_r0-p134;avr;uns;-1;65.08;1022.13;5742.0;btormc;uns;-1;12.96;12.87;80.0;cosa2;uns;-1;1158.52;4664.21;3462.0;nuxmv;uns;-1;1508.45;4523.54;2548.0;pono;uns;-1;24.25;145.45;746.0
dblclockfft_butterfly_ck2_r0-p152;avr;uns;-1;1.48;12.72;1380.0;btormc;uns;-1;0.09;0.00;0.0;cosa2;uns;-1;1.25;4.12;181.0;nuxmv;uns;-1;0.97;1.32;231.0;pono;uns;-1;0.20;0.13;81.0
dblclockfft_butterfly_ck2_r0-p155;avr;uns;-1;24.98;380.18;5570.0;btormc;uns;-1;4.81;4.70;88.0;cosa2;uns;-1;821.33;3307.25;3051.0;nuxmv;uns;-1;111.64;333.08;1391.0;pono;uns;-1;6.90;40.54;527.0
dblclockfft_butterfly_ck2_r0-p159;avr;uns;-1;40.53;629.73;5666.0;btormc;uns;-1;10.07;9.99;93.0;cosa2;uns;-1;1147.12;4619.39;4057.0;nuxmv;uns;-1;183.20;547.92;1993.0;pono;uns;-1;15.53;91.67;676.0
dblclockfft_butterfly_ck2_r0-p168;avr;uns;-1;5.32;65.84;3189.0;btormc;uns;-1;0.79;0.70;33.0;cosa2;uns;-1;77.81;312.71;1287.0;nuxmv;uns;-1;27.22;80.01;698.0;pono;uns;-1;0.59;2.63;213.0
dblclockfft_butterfly_ck2_r0-p171;avr;uns;-1;5.20;64.43;3200.0;btormc;uns;-1;0.73;0.70;33.0;cosa2;uns;-1;63.39;254.70;1116.0;nuxmv;uns;-1;26.43;77.47;701.0;pono;uns;-1;0.68;3.14;244.0
dblclockfft_butterfly_ck2_r0-p173;avr;uns;-1;37.80;585.23;5780.0;btormc;uns;-1;6.32;6.30;102.0;cosa2;uns;-1;1132.53;4560.24;3461.0;nuxmv;uns;-1;208.20;622.98;1571.0;pono;uns;-1;8.64;51.39;581.0
dblclockfft_butterfly_ck2_r0-p185;avr;uns;-1;8.02;107.03;3733.0;btormc;uns;-1;1.74;1.69;51.0;cosa2;uns;-1;294.42;1184.46;2340.0;nuxmv;uns;-1;40.75;120.71;912.0;pono;uns;-1;2.17;12.21;386.0
dblclockfft_butterfly_ck2_r0-p188;avr;uns;-1;52.38;817.65;5750.0;btormc;uns;-1;18.40;18.29;106.0;cosa2;uns;-1;1157.57;4661.32;2345.0;nuxmv;uns;-1;540.93;1621.01;2746.0;pono;uns;-1;29.00;173.81;791.0
dblclockfft_butterfly_ck2_r0-p218;avr;uns;-1;81.44;1285.24;6234.0;btormc;uns;-1;13.15;13.09;89.0;cosa2;uns;-1;1161.53;4676.75;3791.0;nuxmv;uns;-1;2968.96;8905.03;2642.0;pono;uns;-1;21.53;129.21;720.0
dblclockfft_butterfly_ck2_r0-p232;avr;uns;-1;1.54;13.77;1450.0;btormc;uns;-1;0.28;0.20;21.0;cosa2;uns;-1;28.65;114.93;849.0;nuxmv;uns;-1;1.92;4.02;334.0;pono;uns;-1;0.35;1.34;174.0
dblclockfft_butterfly_ck2_r0-p239;avr;uns;-1;1.59;14.87;1618.0;btormc;uns;-1;0.42;0.40;28.0;cosa2;uns;-1;96.52;388.32;1395.0;nuxmv;uns;-1;4.38;11.55;565.0;pono;uns;-1;0.44;1.92;188.0
dblclockfft_butterfly_ck2_r0-p249;avr;uns;-1;1.69;16.81;1859.0;btormc;uns;-1;0.24;0.19;24.0;cosa2;uns;-1;15.85;63.41;628.0;nuxmv;uns;-1;1.88;3.98;320.0;pono;uns;-1;0.33;1.28;174.0
dblclockfft_butterfly_ck2_r0-p253;avr;uns;-1;40.00;619.94;4309.0;btormc;uns;-1;10.55;10.50;75.0;cosa2;uns;-1;827.45;3332.14;3197.0;nuxmv;uns;-1;237.44;710.53;1475.0;pono;uns;-1;13.57;80.90;645.0
dblclockfft_butterfly_ck3_r0-p021;avr;uns;-1;53.93;832.50;5063.0;btormc;uns;-1;35.64;35.59;91.0;cosa2;uns;-1;491.34;1978.04;980.0;nuxmv;uns;-1;525.31;1574.05;2346.0;pono;uns;-1;47.29;284.18;866.0
dblclockfft_butterfly_ck3_r0-p029;avr;uns;-1;7.91;93.79;3144.0;btormc;uns;-1;1.49;1.40;36.0;cosa2;uns;-1;26.21;104.78;615.0;nuxmv;uns;-1;18.65;53.94;660.0;pono;uns;-1;1.40;7.32;304.0
dblclockfft_butterfly_ck3_r0-p042;avr;uns;-1;19.61;292.19;4813.0;btormc;uns;-1;3.80;3.70;87.0;cosa2;uns;-1;444.64;1789.75;2398.0;nuxmv;uns;-1;105.81;315.99;1495.0;pono;uns;-1;7.30;42.96;607.0
dblclockfft_butterfly_ck3_r0-p048;avr;uns;-1;19.45;291.14;4732.0;btormc;uns;-1;2.11;1.99;66.0;cosa2;uns;-1;450.34;1812.64;2201.0;nuxmv;uns;-1;113.86;339.82;1491.0;pono;uns;-1;6.90;40.52;553.0
dblclockfft_butterfly_ck3_r0-p051;avr;uns;-1;102.36;1606.39;6420.0;btormc;uns;-1;9.12;9.00;65.0;cosa2;uns;-1;775.23;3121.99;1980.0;nuxmv;time;-1;3600.10;7975.82;3663.0;pono;uns;-1;23.47;93.94;474.0
dblclockfft_butterfly_ck3_r0-p052;avr;uns;-1;3.63;17.54;1156.0;btormc;uns;-1;0.40;0.30;20.0;cosa2;uns;-1;11.89;47.30;464.0;nuxmv;uns;-1;4.40;11.71;530.0;pono;uns;-1;0.50;1.91;199.0
dblclockfft_butterfly_ck3_r0-p053;avr;uns;-1;40.78;565.83;4408.0;btormc;uns;-1;7.88;7.80;124.0;cosa2;uns;-1;787.25;3169.63;2758.0;nuxmv;uns;-1;282.66;846.55;2387.0;pono;uns;-1;16.74;100.21;823.0
dblclockfft_butterfly_ck3_r0-p056;avr;uns;-1;5.29;35.19;2157.0;btormc;uns;-1;0.40;0.30;19.0;cosa2;uns;-1;6.40;24.66;333.0;nuxmv;uns;-1;11.02;31.54;530.0;pono;uns;-1;0.71;1.83;184.0
dblclockfft_butterfly_ck3_r0-p066;avr;uns;-1;21.53;286.46;4785.0;btormc;uns;-1;3.98;3.87;88.0;cosa2;uns;-1;448.66;1805.76;2074.0;nuxmv;uns;-1;126.82;378.89;1937.0;pono;uns;-1;7.02;41.61;523.0
dblclockfft_butterfly_ck3_r0-p082;avr;uns;-1;53.68;209.85;4257.0;btormc;uns;-1;2.68;2.57;48.0;cosa2;uns;-1;398.36;1603.55;1628.0;nuxmv;uns;-1;101.06;301.66;1923.0;pono;uns;-1;7.42;43.93;471.0
dblclockfft_butterfly_ck3_r0-p090;avr;uns;-1;34.90;465.30;4608.0;btormc;uns;-1;7.09;6.97;124.0;cosa2;uns;-1;782.27;3149.43;2938.0;nuxmv;uns;-1;210.13;628.85;2206.0;pono;uns;-1;15.02;89.86;782.0
dblclockfft_butterfly_ck3_r0-p111;avr;uns;-1;103.99;1019.27;5073.0;btormc;uns;-1;20.25;20.19;108.0;cosa2;uns;-1;808.20;3253.53;1762.0;nuxmv;uns;-1;817.54;2451.05;3065.0;pono;uns;-1;51.03;305.82;958.0
dblclockfft_butterfly_ck3_r0-p119;avr;uns;-1;40.37;2.77;776.0;btormc;uns;-1;0.44;0.39;21.0;cosa2;uns;-1;25.63;102.41;649.0;nuxmv;uns;-1;4.84;12.59;593.0;pono;uns;-1;0.68;2.77;220.0
dblclockfft_butterfly_ck3_r1-p022;avr;uns;-1;7.49;93.88;2704.0;btormc;uns;-1;1.95;1.89;45.0;cosa2;uns;-1;125.03;503.12;1297.0;nuxmv;uns;-1;74.62;222.31;855.0;pono;uns;-1;4.77;27.85;469.0
